FIPS,below_high_school,High_school_diploma,Some_college_degree,Higher_Bachelors_degree
1000,"458,922","1,022,839","993,344","845,772"
1001,"4,291","12,551","10,596","9,929"
1003,"13,893","41,797","47,274","48,148"
1005,"4,812","6,396","4,676","2,080"
1007,"3,386","7,256","3,848","1,678"
1009,"7,763","13,299","13,519","5,210"
1011,"1,798","2,860","1,587",856
1013,"2,066","6,244","3,279","2,230"
1015,"12,315","25,940","26,233","14,620"
1017,"4,372","8,739","7,515","3,163"
1019,"3,478","7,598","5,391","2,407"
1021,"5,474","13,348","7,401","3,823"
1023,"1,737","3,515","2,964","1,113"
1025,"3,259","7,005","4,456","2,050"
1027,"2,205","3,577","2,678",999
1029,"2,198","3,980","2,687","1,616"
1031,"4,967","9,615","12,667","8,044"
1033,"5,783","14,740","11,366","7,070"
1035,"1,384","4,516","1,805","1,128"
1037,"1,652","3,327","2,221","1,059"
1039,"4,366","9,819","8,119","4,020"
1041,"2,016","3,830","2,157","1,687"
1043,"10,648","19,668","19,406","8,004"
1045,"4,651","10,819","11,961","6,078"
1047,"4,757","9,411","8,178","3,854"
1049,"12,072","16,431","13,241","6,246"
1051,"7,503","18,232","16,298","14,060"
1053,"4,878","11,308","6,449","3,224"
1055,"11,127","23,668","24,422","12,815"
1057,"2,037","4,831","3,387","1,451"
1059,"4,739","7,601","5,539","2,907"
1061,"3,672","6,714","5,943","2,331"
1063,"1,204","2,237","1,766",586
1065,"1,587","4,303","2,620","1,411"
1067,"2,509","3,961","3,622","2,076"
1069,"10,076","22,558","23,893","15,672"
1071,"6,218","15,177","10,429","5,175"
1073,"44,684","118,636","136,299","150,124"
1075,"1,737","3,912","3,014","1,174"
1077,"8,026","22,873","17,759","14,948"
1079,"4,825","9,605","5,954","2,930"
1081,"8,849","23,026","30,907","34,273"
1083,"10,098","20,044","18,829","16,971"
1085,"1,529","2,800","1,696","1,037"
1087,"2,190","3,633","3,760","2,450"
1089,"20,562","51,126","70,137","105,935"
1091,"2,118","4,970","3,895","2,109"
1093,"4,345","7,408","6,804","2,715"
1095,"11,761","19,920","19,887","12,387"
1097,"37,736","94,715","81,698","64,689"
1099,"2,113","6,952","3,670","1,983"
1101,"19,978","37,648","42,690","50,254"
1103,"13,137","25,075","25,790","18,476"
1105,"1,010","2,172","1,361","1,340"
1107,"2,680","5,388","4,380","2,047"
1109,"2,901","6,899","4,918","4,580"
1111,"3,213","5,502","4,454","2,607"
1113,"6,297","12,237","13,449","6,937"
1115,"9,488","21,849","20,207","9,880"
1117,"10,658","28,835","43,503","62,431"
1119,"1,076","2,860","2,408","1,744"
1121,"11,014","18,881","17,721","8,377"
1123,"5,546","9,376","8,458","5,287"
1125,"15,036","38,580","35,780","39,660"
1127,"8,141","16,796","14,765","5,080"
1129,"1,971","4,886","3,052","1,437"
1131,"1,675","2,808","1,742",889
1133,"3,635","6,556","4,764","2,201"
2000,"34,376","134,582","169,609","142,019"
2010,,,,
2013,380,"1,137",798,301
2016,435,"1,611","1,378",703
2020,"11,701","44,936","65,951","69,282"
2050,"1,871","4,550","2,216","1,164"
2060,38,235,219,143
2068,25,423,511,668
2070,396,"1,078",782,639
2090,"3,406","13,993","25,045","19,402"
2100,46,558,621,625
2105,107,659,580,365
2110,818,"4,875","8,202","8,666"
2122,"2,977","12,702","14,977","9,995"
2130,697,"2,864","3,644","2,437"
2150,912,"2,653","2,868","2,501"
2158,847,"2,246",760,157
2160,,,,
2164,110,406,254,148
2170,"4,808","22,553","26,100","14,725"
2180,852,"2,270","1,507",891
2185,668,"2,795","1,967","1,075"
2188,735,"1,964",953,557
2195,227,696,649,623
2198,410,"1,689","1,544",814
2201,,,,
2220,325,"1,683","2,087","2,051"
2230,46,253,311,257
2231,,,,
2232,,,,
2240,458,"1,546","1,624",890
2250,,,,
2261,300,"1,997","2,185","1,998"
2275,259,679,613,374
2280,,,,
2282,39,148,155,100
2290,483,"1,383","1,108",468
4000,"608,637","1,129,129","1,600,240","1,394,526"
4001,"8,809","14,491","16,120","5,529"
4003,"11,057","21,124","35,205","20,253"
4005,"7,876","18,310","26,852","30,042"
4007,"5,378","10,955","15,629","7,368"
4009,"3,495","6,809","9,810","3,592"
4011,699,"2,032","2,332",791
4012,"3,702","5,000","5,423","1,928"
4013,"353,350","644,671","939,477","941,317"
4015,"22,068","55,982","59,836","20,505"
4017,"11,720","21,383","26,664","10,758"
4019,"79,892","153,022","232,157","222,733"
4021,"42,607","87,608","110,668","58,470"
4023,"6,857","8,398","8,060","5,987"
4025,"15,683","45,277","68,914","45,341"
4027,"35,444","34,067","43,093","19,912"
5000,"270,168","684,659","593,576","463,236"
5001,"1,999","4,832","3,633","1,959"
5003,"2,307","6,027","3,765","1,703"
5005,"3,581","11,536","10,976","5,682"
5007,"19,857","50,742","45,308","58,000"
5009,"3,271","8,675","9,844","4,193"
5011,"1,426","3,105","1,911","1,078"
5013,586,"1,661","1,046",424
5015,"2,724","7,134","5,781","4,213"
5017,"1,431","2,833","1,995","1,182"
5019,"1,323","3,976","4,364","3,508"
5021,"1,845","4,410","2,947","1,323"
5023,"2,627","8,007","5,153","2,906"
5025,594,"2,653","1,526",926
5027,"2,071","6,116","3,595","2,879"
5029,"1,876","6,352","3,995","2,263"
5031,"7,362","23,849","19,662","18,091"
5033,"6,347","15,753","13,409","6,747"
5035,"5,385","10,768","9,414","5,400"
5037,"1,883","4,778","3,191","1,661"
5039,826,"2,267","1,442",610
5041,"1,482","3,491","1,753","1,100"
5043,"1,526","4,115","3,364","2,656"
5045,"6,196","23,112","23,378","23,183"
5047,"1,956","4,930","3,672","1,459"
5049,"1,275","3,171","3,322","1,083"
5051,"7,779","22,462","25,762","15,464"
5053,"1,170","5,570","3,600","2,380"
5055,"3,536","13,792","7,887","4,859"
5057,"2,491","5,276","4,400","2,162"
5059,"3,442","9,474","8,150","3,227"
5061,"1,297","3,371","2,921","1,192"
5063,"3,512","9,451","7,753","4,406"
5065,"1,653","3,876","3,334","1,332"
5067,"2,421","5,186","3,361","1,239"
5069,"6,499","18,240","13,726","8,439"
5071,"3,678","7,082","3,982","2,679"
5073,995,"1,972","1,161",775
5075,"1,782","4,340","3,377","1,730"
5077,"1,632","2,728","1,668",726
5079,"1,951","4,878","2,481","1,004"
5081,960,"3,882","2,762","1,090"
5083,"2,108","6,902","4,256","2,043"
5085,"5,246","17,701","15,363","9,944"
5087,"2,164","4,903","2,522","1,590"
5089,"1,700","4,727","4,022","2,151"
5091,"4,018","10,473","10,200","4,970"
5093,"5,137","10,586","7,757","3,771"
5095,"1,064","2,077","1,252",639
5097,"1,351","2,432","2,002",902
5099,562,"2,513","1,917",853
5101,774,"2,026","1,754","1,172"
5103,"2,286","6,816","4,908","2,370"
5105,"1,099","3,022","2,213",918
5107,"2,367","3,833","4,146","1,653"
5109,949,"2,865","2,410","1,301"
5111,"3,204","7,019","4,265","1,804"
5113,"2,119","5,136","4,817","1,981"
5115,"6,286","14,253","10,742","9,220"
5117,"1,004","2,388","1,663",923
5119,"25,739","69,244","80,241","91,541"
5121,"2,093","4,417","4,028","1,694"
5123,"3,239","6,739","6,075","1,861"
5125,"7,756","25,927","26,944","22,073"
5127,"1,460","2,853","2,034",652
5129,"1,057","2,326","1,721",689
5131,"13,548","26,385","26,951","18,122"
5133,"2,510","4,003","2,806","1,367"
5135,"2,052","5,071","4,022","1,261"
5137,"1,737","3,215","2,987","1,279"
5139,"4,029","9,509","7,583","5,642"
5141,"1,820","5,213","3,425","1,777"
5143,"21,148","36,273","36,611","46,968"
5145,"7,975","20,092","12,382","10,659"
5147,853,"2,041","1,113",655
5149,"3,160","5,806","3,673","1,858"
6000,"4,418,675","5,423,462","7,648,680","8,980,726"
6001,"135,524","205,980","275,053","556,105"
6003,68,216,220,266
6005,"3,024","8,322","13,112","5,837"
6007,"15,864","33,186","58,310","40,149"
6009,"3,424","9,759","15,281","6,384"
6011,"3,932","3,586","4,107","2,052"
6013,"82,921","135,825","235,034","333,398"
6015,"3,918","6,095","6,724","2,907"
6017,"9,029","29,137","51,867","46,995"
6019,"145,232","137,213","193,773","127,919"
6021,"4,518","4,890","6,002","2,541"
6023,"8,811","20,505","35,024","28,123"
6025,"33,336","26,782","33,247","16,760"
6027,"1,508","3,775","4,334","3,587"
6029,"139,316","149,493","160,896","88,094"
6031,"24,758","23,488","31,040","13,630"
6033,"6,604","14,169","18,441","7,212"
6035,"3,807","7,799","8,081","2,928"
6037,"1,437,059","1,419,449","1,789,308","2,241,079"
6039,"27,373","24,303","31,659","14,192"
6041,"12,759","20,018","44,352","113,274"
6043,"1,283","3,320","5,681","3,348"
6045,"8,346","15,528","22,974","15,157"
6047,"49,522","40,500","48,248","22,118"
6049,"1,025","2,224","2,467","1,024"
6051,"1,135","2,402","3,529","2,861"
6053,"78,519","56,000","73,043","68,106"
6055,"14,227","17,473","31,432","35,091"
6057,"4,286","13,957","29,450","28,307"
6059,"315,045","373,447","599,846","880,086"
6061,"14,777","48,614","99,628","107,378"
6063,709,"3,773","6,565","3,432"
6065,"280,136","418,902","512,894","347,937"
6067,"126,265","230,622","354,374","317,319"
6069,"7,616","9,644","14,012","7,686"
6071,"270,241","355,250","441,645","283,484"
6073,"282,031","409,613","683,145","871,782"
6075,"80,204","83,795","127,615","403,716"
6077,"96,843","132,461","150,446","87,705"
6079,"16,514","37,609","67,922","66,812"
6081,"57,386","81,909","130,946","281,049"
6083,"52,419","49,006","79,694","93,973"
6085,"155,203","188,180","292,055","699,520"
6087,"24,593","27,933","53,963","73,511"
6089,"11,275","32,118","55,087","28,044"
6091,185,766,"1,035",434
6093,"3,095","8,074","13,170","7,343"
6095,"35,139","72,340","114,484","81,736"
6097,"40,280","67,371","124,081","127,582"
6099,"72,491","100,758","111,725","58,652"
6101,"13,673","14,613","22,916","11,424"
6103,"6,780","13,212","16,990","6,868"
6105,752,"3,428","3,745","1,922"
6107,"79,125","69,314","83,215","39,697"
6109,"3,829","11,691","17,313","8,471"
6111,"85,256","109,206","183,009","192,675"
6113,"17,179","23,086","34,470","52,851"
6115,"8,506","11,333","20,001","8,193"
8000,"315,751","817,452","1,127,242","1,565,134"
8001,"52,590","92,779","100,196","78,690"
8003,"1,264","2,742","3,204","2,409"
8005,"32,339","91,255","127,088","187,205"
8007,777,"2,131","3,462","3,767"
8009,359,730,961,558
8011,691,"2,210","1,116",517
8013,"10,596","24,916","45,172","132,071"
8014,"1,439","6,793","12,562","26,198"
8015,"1,004","4,193","5,082","5,244"
8017,112,492,477,257
8019,102,"1,613","2,115","3,546"
8021,636,"1,794","1,747","1,109"
8023,532,684,"1,038",539
8025,540,"1,653","1,339",351
8027,244,791,"1,537","1,240"
8029,"2,071","8,544","6,843","4,835"
8031,"60,938","85,694","110,587","251,499"
8033,86,506,469,337
8035,"4,158","26,712","62,264","128,705"
8037,"4,522","5,854","9,968","18,161"
8039,600,"4,422","6,740","6,564"
8041,"26,003","92,340","159,628","174,144"
8043,"3,668","14,532","11,922","6,820"
8045,"4,685","10,623","11,811","12,179"
8047,76,"1,055","1,844","1,948"
8049,629,"3,100","3,456","4,396"
8051,278,"1,687","2,677","5,959"
8053,44,160,178,321
