FIPS_Code,Civilian_labor_force_2020,Employed_2020,Unemployed_2020
1000,"2,230,118","2,099,062","131,056"
1001,"25,838","24,576","1,262"
1003,"96,763","91,338","5,425"
1005,"8,587","7,982",605
1007,"8,640","8,067",573
1009,"24,661","23,653","1,008"
1011,"4,818","4,553",265
1013,"9,056","8,255",801
1015,"46,240","42,980","3,260"
1017,"15,865","14,787","1,078"
1019,"11,513","10,983",530
1021,"19,592","18,618",974
1023,"4,621","4,313",308
1025,"7,769","7,069",700
1027,"6,083","5,838",245
1029,"5,737","5,475",262
1031,"21,502","20,558",944
1033,"23,558","22,008","1,550"
1035,"4,529","4,198",331
1037,"4,392","4,150",242
1039,"15,172","14,434",738
1041,"6,253","5,896",357
1043,"38,310","36,660","1,650"
1045,"20,710","19,701","1,009"
1047,"14,619","13,049","1,570"
1049,"30,736","29,348","1,388"
1051,"36,620","34,843","1,777"
1053,"14,453","13,589",864
1055,"40,724","37,598","3,126"
1057,"6,562","6,236",326
1059,"14,424","13,786",638
1061,"10,835","10,391",444
1063,"3,015","2,687",328
1065,"6,075","5,503",572
1067,"6,814","6,487",327
1069,"46,358","43,861","2,497"
1071,"22,840","21,637","1,203"
1073,"315,957","296,282","19,675"
1075,"5,730","5,452",278
1077,"41,931","39,610","2,321"
1079,"14,363","13,660",703
1081,"75,564","71,629","3,935"
1083,"44,624","42,724","1,900"
1085,"3,661","3,173",488
1087,"8,063","7,290",773
1089,"187,247","178,579","8,668"
1091,"7,766","7,281",485
1093,"13,034","12,373",661
1095,"44,275","42,430","1,845"
1097,"190,882","175,761","15,121"
1099,"7,474","6,864",610
1101,"107,103","98,735","8,368"
1103,"58,899","56,265","2,634"
1105,"3,437","3,064",373
1107,"7,660","7,161",499
1109,"15,636","14,864",772
1111,"9,414","8,967",447
1113,"23,500","22,290","1,210"
1115,"40,132","38,146","1,986"
1117,"114,048","109,646","4,402"
1119,"4,745","4,414",331
1121,"36,123","33,591","2,532"
1123,"17,864","16,625","1,239"
1125,"102,222","95,473","6,749"
1127,"24,877","23,431","1,446"
1129,"6,729","6,190",539
1131,"2,871","2,448",423
1133,"10,017","9,542",475
2000,"347,414","320,219","27,195"
2013,"2,523","2,423",100
2016,"3,732","3,563",169
2020,"148,392","137,421","10,971"
2050,"6,963","6,158",805
2060,417,386,31
2068,680,573,107
2070,"1,742","1,599",143
2090,"44,679","41,838","2,841"
2100,"1,018",859,159
2105,"1,050",908,142
2110,"16,374","15,293","1,081"
2122,"26,341","23,948","2,393"
2130,"6,520","5,893",627
2150,"6,090","5,710",380
2158,"2,299","1,854",445
2164,689,624,65
2170,"47,848","43,858","3,990"
2180,"3,927","3,516",411
2185,"3,200","3,011",189
2188,"2,942","2,590",352
2195,"1,415","1,292",123
2198,"2,828","2,568",260
2201,,,
2220,"4,132","3,847",285
2230,606,476,130
2232,,,
2240,"2,934","2,717",217
2261,"4,522","4,127",395
2275,984,901,83
2280,,,
2282,260,238,22
2290,"2,308","2,028",280
4000,"3,570,220","3,288,150","282,070"
4001,"20,195","17,614","2,581"
4003,"51,995","48,368","3,627"
4005,"75,280","67,985","7,295"
4007,"21,008","19,387","1,621"
4009,"15,919","14,911","1,008"
4011,"4,454","4,210",244
4012,"8,979","8,343",636
4013,"2,331,628","2,159,267","172,361"
4015,"88,743","79,889","8,854"
4017,"40,419","36,322","4,097"
4019,"495,991","457,683","38,308"
4021,"191,074","176,674","14,400"
4023,"19,429","17,209","2,220"
4025,"106,985","98,978","8,007"
4027,"98,120","81,310","16,810"
5000,"1,354,296","1,272,344","81,952"
5001,"9,422","9,044",378
5003,"7,186","6,518",668
5005,"16,528","15,547",981
5007,"140,015","133,784","6,231"
5009,"15,764","14,934",830
5011,"4,386","4,130",256
5013,"2,426","2,301",125
5015,"12,709","11,989",720
5017,"3,250","2,914",336
5019,"9,314","8,765",549
5021,"5,519","5,186",333
5023,"9,157","8,460",697
5025,"3,203","3,008",195
5027,"9,053","8,433",620
5029,"8,392","7,888",504
5031,"55,775","52,803","2,972"
5033,"26,436","24,998","1,438"
5035,"21,209","19,459","1,750"
5037,"7,291","6,847",444
5039,"2,832","2,681",151
5041,"5,321","4,948",373
5043,"7,730","7,196",534
5045,"61,682","58,321","3,361"
5047,"7,478","7,059",419
5049,"4,924","4,671",253
5051,"41,347","38,052","3,295"
5053,"8,222","7,796",426
5055,"19,450","18,292","1,158"
5057,"9,593","9,094",499
5059,"14,100","13,285",815
5061,"5,533","5,257",276
5063,"16,670","15,711",959
5065,"4,640","4,249",391
5067,"5,863","5,444",419
5069,"27,398","25,194","2,204"
5071,"10,120","9,482",638
5073,"2,421","2,236",185
5075,"6,786","6,369",417
5077,"2,805","2,595",210
5079,"3,834","3,605",229
5081,"5,385","5,038",347
5083,"8,656","8,081",575
5085,"33,550","31,692","1,858"
5087,"7,413","7,126",287
5089,"6,251","5,848",403
5091,"19,379","18,047","1,332"
5093,"17,264","15,705","1,559"
5095,"2,721","2,539",182
5097,"2,981","2,778",203
5099,"3,550","3,342",208
5101,"3,246","3,084",162
5103,"9,821","9,229",592
5105,"4,188","3,956",232
5107,"6,402","5,822",580
5109,"4,272","4,020",252
5111,"9,919","9,374",545
5113,"8,013","7,482",531
5115,"27,775","26,138","1,637"
5117,"3,608","3,415",193
5119,"188,928","174,884","14,044"
5121,"7,444","7,005",439
5123,"8,028","7,394",634
5125,"58,181","55,241","2,940"
5127,"4,354","4,159",195
5129,"2,885","2,701",184
5131,"56,158","52,803","3,355"
5133,"5,524","5,202",322
5135,"5,717","5,309",408
5137,"4,618","4,290",328
5139,"15,622","14,325","1,297"
5141,"5,758","5,349",409
5143,"126,141","120,346","5,795"
5145,"33,972","31,855","2,117"
5147,"2,794","2,631",163
5149,"7,997","7,592",405
6000,"18,821,167","16,913,078","1,908,089"
6001,"813,807","742,411","71,396"
6003,517,459,58
6005,"14,424","13,107","1,317"
6007,"92,604","84,095","8,509"
6009,"21,207","19,588","1,619"
6011,"10,499","8,824","1,675"
6013,"541,256","493,236","48,020"
6015,"9,350","8,466",884
6017,"90,752","83,262","7,490"
6019,"445,518","395,258","50,260"
6021,"12,568","11,455","1,113"
6023,"59,411","54,446","4,965"
6025,"69,602","53,949","15,653"
6027,"8,305","7,658",647
6029,"383,769","335,707","48,062"
6031,"56,416","49,883","6,533"
6033,"28,267","25,567","2,700"
6035,"9,461","8,785",676
6037,"4,921,499","4,291,688","629,811"
6039,"61,738","55,089","6,649"
6041,"130,138","121,476","8,662"
6043,"7,162","6,381",781
6045,"37,015","33,723","3,292"
6047,"114,736","100,755","13,981"
6049,"3,170","2,900",270
6051,"7,846","6,917",929
6053,"213,471","190,389","23,082"
6055,"68,867","62,853","6,014"
6057,"46,489","42,787","3,702"
6059,"1,553,301","1,416,738","136,563"
6061,"184,892","171,319","13,573"
6063,"7,559","6,753",806
6065,"1,107,723","997,725","109,998"
6067,"707,182","641,624","65,558"
6069,"31,528","28,409","3,119"
6071,"966,206","874,911","91,295"
6073,"1,538,361","1,396,547","141,814"
6075,"556,056","512,531","43,525"
6077,"331,828","294,454","37,374"
6079,"132,690","122,495","10,195"
6081,"433,876","404,128","29,748"
6083,"217,510","200,175","17,335"
6085,"1,020,693","949,353","71,340"
6087,"133,646","120,932","12,714"
6089,"72,827","66,484","6,343"
6091,"1,282","1,179",103
6093,"16,923","15,286","1,637"
6095,"202,812","183,607","19,205"
6097,"245,091","225,791","19,300"
6099,"240,641","214,885","25,756"
6101,"45,467","40,472","4,995"
6103,"25,579","23,317","2,262"
6105,"4,515","4,155",360
6107,"199,151","172,852","26,299"
6109,"20,038","17,954","2,084"
6111,"408,867","373,903","34,964"
6113,"105,026","97,111","7,915"
6115,"30,042","26,879","3,163"
8000,"3,122,237","2,895,473","226,764"
8001,"274,498","252,469","22,029"
8003,"8,403","7,868",535
8005,"366,768","337,943","28,825"
8007,"7,123","6,585",538
8009,"2,132","2,082",50
8011,"1,828","1,748",80
8013,"192,879","180,992","11,887"
8014,"40,226","37,556","2,670"
8015,"9,741","9,126",615
8017,"1,103","1,076",27
8019,"6,151","5,628",523
8021,"4,071","3,844",227
8023,"1,823","1,691",132
8025,"1,528","1,445",83
8027,"2,087","1,982",105
8029,"14,340","13,400",940
8031,"423,824","388,924","34,900"
8033,"1,137","1,059",78
8035,"194,649","183,412","11,237"
8037,"35,708","32,319","3,389"
8039,"14,961","14,264",697
8041,"344,120","319,084","25,036"
8043,"15,393","14,203","1,190"
8045,"31,762","29,606","2,156"
8047,"4,016","3,562",454
8049,"9,364","8,576",788
8051,"11,347","10,596",751
8053,426,408,18
8055,"2,644","2,395",249
8057,940,900,40
8059,"333,682","310,057","23,625"
