FIPStxt;State;Area name;Population 2020;;;;;;
00000;US;United States;331.449.281;;;;;;
01000;AL;Alabama;5.024.279;;;;;;
01001;AL;Autauga County;58.805;;;;;;
01003;AL;Baldwin County;231.767;;;;;;
01005;AL;Barbour County;25.223;;;;;;
01007;AL;Bibb County;22.293;;;;;;
01009;AL;Blount County;59.134;;;;;;
01011;AL;Bullock County;10.357;;;;;;
01013;AL;Butler County;19.051;;;;;;
01015;AL;Calhoun County;116.441;;;;;;
01017;AL;Chambers County;34.772;;;;;;
01019;AL;Cherokee County;24.971;;;;;;
01021;AL;Chilton County;45.014;;;;;;
01023;AL;Choctaw County;12.665;;;;;;
01025;AL;Clarke County;23.087;;;;;;
01027;AL;Clay County;14.236;;;;;;
01029;AL;Cleburne County;15.056;;;;;;
01031;AL;Coffee County;53.465;;;;;;
01033;AL;Colbert County;57.227;;;;;;
01035;AL;Conecuh County;11.597;;;;;;
01037;AL;Coosa County;10.387;;;;;;
01039;AL;Covington County;37.570;;;;;;
01041;AL;Crenshaw County;13.194;;;;;;
01043;AL;Cullman County;87.866;;;;;;
01045;AL;Dale County;49.326;;;;;;
01047;AL;Dallas County;38.462;;;;;;
01049;AL;DeKalb County;71.608;;;;;;
01051;AL;Elmore County;87.977;;;;;;
01053;AL;Escambia County;36.757;;;;;;
01055;AL;Etowah County;103.436;;;;;;
01057;AL;Fayette County;16.321;;;;;;
01059;AL;Franklin County;32.113;;;;;;
01061;AL;Geneva County;26.659;;;;;;
01063;AL;Greene County;7.730;;;;;;
01065;AL;Hale County;14.785;;;;;;
01067;AL;Henry County;17.146;;;;;;
01069;AL;Houston County;107.202;;;;;;
01071;AL;Jackson County;52.579;;;;;;
01073;AL;Jefferson County;674.721;;;;;;
01075;AL;Lamar County;13.972;;;;;;
01077;AL;Lauderdale County;93.564;;;;;;
01079;AL;Lawrence County;33.073;;;;;;
01081;AL;Lee County;174.241;;;;;;
01083;AL;Limestone County;103.570;;;;;;
01085;AL;Lowndes County;10.311;;;;;;
01087;AL;Macon County;19.532;;;;;;
01089;AL;Madison County;388.153;;;;;;
01091;AL;Marengo County;19.323;;;;;;
01093;AL;Marion County;29.341;;;;;;
01095;AL;Marshall County;97.612;;;;;;
01097;AL;Mobile County;414.809;;;;;;
01099;AL;Monroe County;19.772;;;;;;
01101;AL;Montgomery County;228.954;;;;;;
01103;AL;Morgan County;123.421;;;;;;
01105;AL;Perry County;8.511;;;;;;
01107;AL;Pickens County;19.123;;;;;;
01109;AL;Pike County;33.009;;;;;;
01111;AL;Randolph County;21.967;;;;;;
01113;AL;Russell County;59.183;;;;;;
01115;AL;St. Clair County;91.103;;;;;;
01117;AL;Shelby County;223.024;;;;;;
01119;AL;Sumter County;12.345;;;;;;
01121;AL;Talladega County;82.149;;;;;;
01123;AL;Tallapoosa County;41.311;;;;;;
01125;AL;Tuscaloosa County;227.036;;;;;;
01127;AL;Walker County;65.342;;;;;;
01129;AL;Washington County;15.388;;;;;;
01131;AL;Wilcox County;10.600;;;;;;
01133;AL;Winston County;23.540;;;;;;
02000;AK;Alaska;733.391;;;;;;
02013;AK;Aleutians East Borough;3.420;;;;;;
02016;AK;Aleutians West Census Area;5.232;;;;;;
02020;AK;Anchorage Municipality;291.247;;;;;;
02050;AK;Bethel Census Area;18.666;;;;;;
02060;AK;Bristol Bay Borough;844;;;;;;
02063;AK;Chugach Census Area;7.102;;;;;;
02066;AK;Copper River Census Area;2.617;;;;;;
02068;AK;Denali Borough;1.619;;;;;;
02070;AK;Dillingham Census Area;4.857;;;;;;
02090;AK;Fairbanks North Star Borough;95.655;;;;;;
02100;AK;Haines Borough;2.080;;;;;;
02105;AK;Hoonah-Angoon Census Area;2.365;;;;;;
02110;AK;Juneau City and Borough;32.255;;;;;;
02122;AK;Kenai Peninsula Borough;58.799;;;;;;
02130;AK;Ketchikan Gateway Borough;13.948;;;;;;
02150;AK;Kodiak Island Borough;13.101;;;;;;
02158;AK;Kusilvak Census Area;8.368;;;;;;
02164;AK;Lake and Peninsula Borough;1.476;;;;;;
02170;AK;Matanuska-Susitna Borough;107.081;;;;;;
02180;AK;Nome Census Area;10.046;;;;;;
02185;AK;North Slope Borough;11.031;;;;;;
02188;AK;Northwest Arctic Borough;7.793;;;;;;
02195;AK;Petersburg Borough;3.398;;;;;;
02198;AK;Prince of Wales-Hyder Census Area;5.753;;;;;;
02201;AK;Prince of Wales-Outer Ketchikan Census Area;;;;;;;
02220;AK;Sitka City and Borough;8.458;;;;;;
02230;AK;Skagway Municipality;1.240;;;;;;
02232;AK;Skagway-Hoonah-Angoon Census Area;;;;;;;
02240;AK;Southeast Fairbanks Census Area;6.808;;;;;;
