FIPS,Poverty_ALL,Median_Household_Income
1000,"747,478","51,771"
1001,"6,723","58,233"
1003,"22,360","59,871"
1005,"5,909","35,972"
1007,"4,101","47,918"
1009,"9,324","52,902"
1011,"2,537","31,906"
1013,"4,124","39,944"
1015,"18,988","47,747"
1017,"6,415","42,015"
1019,"4,121","45,982"
1021,"7,044","49,692"
1023,"2,811","39,808"
1025,"4,281","43,822"
1027,"2,156","40,562"
1029,"1,945","51,276"
1031,"7,734","57,299"
1033,"7,998","46,683"
1035,"2,662","41,539"
1037,"1,789","42,024"
1039,"6,269","44,836"
1041,"2,289","43,309"
1043,"10,088","50,897"
1045,"8,727","45,120"
1047,"9,533","34,034"
1049,"12,848","44,277"
1051,"8,753","62,310"
1053,"6,980","42,712"
1055,"18,801","43,047"
1057,"2,721","44,212"
1059,"4,989","44,874"
1061,"4,180","43,089"
1063,"2,553","28,699"
1065,"2,956","40,745"
1067,"2,919","48,597"
1069,"20,207","50,138"
1071,"7,481","44,322"
1073,"104,288","54,127"
1075,"2,070","42,686"
1077,"14,193","48,188"
1079,"5,773","47,797"
1081,"24,731","54,160"
1083,"11,535","64,729"
1085,"2,555","33,930"
1087,"4,817","34,281"
1089,"41,789","68,609"
1091,"4,601","38,838"
1093,"4,883","44,675"
1095,"14,989","48,913"
1097,"71,784","49,492"
1099,"4,770","40,005"
1101,"34,268","52,711"
1103,"16,146","54,355"
1105,"2,778","29,572"
1107,"4,380","40,249"
1109,"6,742","41,271"
1111,"3,906","42,922"
1113,"10,823","43,670"
1115,"9,780","65,403"
1117,"13,428","77,801"
1119,"4,195","29,209"
1121,"13,326","47,719"
1123,"6,341","47,100"
1125,"32,226","52,307"
1127,"10,837","45,991"
1129,"2,998","48,864"
1131,"3,329","30,998"
1133,"3,882","40,827"
2000,"73,033","77,203"
2013,492,"66,923"
2016,414,"84,726"
2020,"26,636","82,512"
2050,"4,249","48,262"
2060,80,"87,950"
2068,132,"78,434"
2070,883,"57,436"
2090,"6,656","74,076"
2100,247,"62,548"
2105,336,"53,141"
2110,"1,951","85,419"
2122,"5,966","68,625"
2130,"1,283","75,706"
2150,909,"79,669"
2158,"2,217","35,369"
2164,275,"51,693"
2170,"10,142","75,856"
2180,"2,033","58,464"
2185,"1,109","84,784"
2188,"1,805","61,660"
2195,219,"71,296"
2198,"1,085","50,049"
2220,672,"80,660"
2230,47,"74,898"
2240,823,"69,646"
2261,781,"74,574"
2275,240,"62,496"
2282,85,"61,587"
2290,"1,266","42,063"
4000,"963,007","62,027"
4001,"23,680","35,386"
4003,"20,172","48,650"
4005,"20,817","58,301"
4007,"11,219","45,980"
4009,"7,207","50,685"
4011,876,"68,066"
4012,"4,593","39,407"
4013,"539,670","68,634"
4015,"33,183","49,712"
4017,"27,440","40,676"
4019,"142,859","56,150"
4021,"52,975","62,067"
4023,"8,688","47,779"
4025,"27,845","54,242"
4027,"41,782","47,024"
5000,"468,575","49,020"
5001,"2,714","52,539"
5003,"3,603","47,744"
5005,"5,248","41,950"
5007,"24,525","70,775"
5009,"5,572","50,083"
5011,"2,426","39,982"
5013,771,"48,415"
5015,"4,118","43,841"
5017,"2,900","37,014"
5019,"3,971","44,105"
5021,"2,691","40,686"
5023,"3,452","46,214"
5025,"1,080","53,773"
5027,"4,509","42,964"
5029,"3,215","46,924"
5031,"17,960","47,766"
5033,"11,436","44,600"
5035,"10,520","41,976"
5037,"2,874","45,273"
5039,"1,241","41,314"
5041,"2,859","37,005"
5043,"3,191","44,162"
5045,"17,459","58,482"
5047,"2,830","45,670"
5049,"2,169","32,926"
5051,"16,532","45,786"
5053,"2,189","58,566"
5055,"6,925","47,098"
5057,"3,930","40,867"
5059,"6,322","45,860"
5061,"2,176","41,427"
5063,"5,852","47,903"
5065,"2,003","40,233"
5067,"3,313","38,636"
5069,"14,942","40,555"
5071,"4,521","40,396"
5073,"1,655","37,164"
5075,"2,887","39,604"
5077,"2,515","30,421"
5079,"2,567","44,272"
5081,"2,157","43,257"
5083,"3,640","42,249"
5085,"7,760","62,782"
5087,"2,699","48,016"
5089,"2,687","38,760"
5091,"5,909","50,905"
5093,"9,128","39,990"
5095,"1,681","34,289"
5097,"1,756","39,591"
5099,"1,951","36,528"
5101,"1,386","37,648"
5103,"3,969","46,393"
5105,"1,710","50,560"
5107,"5,841","31,521"
5109,"1,769","44,426"
